[145.0 ns] clk=0 | reset_n=1 | cs=1 | we=0 | address=00001001 | write_data=00000000000000000000000000000001 | read_data=00000000000000000000000000000000
[146.0 ns] clk=1 | reset_n=1 | cs=1 | we=0 | address=00001001 | write_data=00000000000000000000000000000001 | read_data=00000000000000000000000000000000
[147.0 ns] clk=0 | reset_n=1 | cs=1 | we=0 | address=00001001 | write_data=00000000000000000000000000000001 | read_data=00000000000000000000000000000000
[148.0 ns] clk=1 | reset_n=1 | cs=1 | we=0 | address=00001001 | write_data=00000000000000000000000000000001 | read_data=00000000000000000000000000000000
[149.0 ns] clk=0 | reset_n=1 | cs=1 | we=0 | address=00001001 | write_data=00000000000000000000000000000001 | read_data=00000000000000000000000000000000
[150.0 ns] clk=1 | reset_n=1 | cs=1 | we=0 | address=00001001 | write_data=00000000000000000000000000000001 | read_data=00000000000000000000000000000000
[151.0 ns] clk=0 | reset_n=1 | cs=1 | we=0 | address=00001001 | write_data=00000000000000000000000000000001 | read_data=00000000000000000000000000000000
[152.0 ns] clk=1 | reset_n=1 | cs=1 | we=0 | address=00001001 | write_data=00000000000000000000000000000001 | read_data=00000000000000000000000000000000
[153.0 ns] clk=0 | reset_n=1 | cs=1 | we=0 | address=00001001 | write_data=00000000000000000000000000000001 | read_data=00000000000000000000000000000000
[154.0 ns] clk=1 | reset_n=1 | cs=1 | we=0 | address=00001001 | write_data=00000000000000000000000000000001 | read_data=00000000000000000000000000000000
[155.0 ns] clk=0 | reset_n=1 | cs=1 | we=0 | address=00001001 | write_data=00000000000000000000000000000001 | read_data=00000000000000000000000000000000
[156.0 ns] clk=1 | reset_n=1 | cs=1 | we=0 | address=00001001 | write_data=00000000000000000000000000000001 | read_data=00000000000000000000000000000000
[157.0 ns] clk=0 | reset_n=1 | cs=1 | we=0 | address=00001001 | write_data=00000000000000000000000000000001 | read_data=00000000000000000000000000000000
[158.0 ns] clk=1 | reset_n=1 | cs=1 | we=0 | address=00001001 | write_data=00000000000000000000000000000001 | read_data=00000000000000000000000000000000
[159.0 ns] clk=0 | reset_n=1 | cs=1 | we=0 | address=00001001 | write_data=00000000000000000000000000000001 | read_data=00000000000000000000000000000000
[160.0 ns] clk=1 | reset_n=1 | cs=1 | we=0 | address=00001001 | write_data=00000000000000000000000000000001 | read_data=00000000000000000000000000000000
[161.0 ns] clk=0 | reset_n=1 | cs=1 | we=0 | address=00001001 | write_data=00000000000000000000000000000001 | read_data=00000000000000000000000000000000
[162.0 ns] clk=1 | reset_n=1 | cs=1 | we=0 | address=00001001 | write_data=00000000000000000000000000000001 | read_data=00000000000000000000000000000000
[163.0 ns] clk=0 | reset_n=1 | cs=1 | we=0 | address=00001001 | write_data=00000000000000000000000000000001 | read_data=00000000000000000000000000000000
[164.0 ns] clk=1 | reset_n=1 | cs=1 | we=0 | address=00001001 | write_data=00000000000000000000000000000001 | read_data=00000000000000000000000000000000
[165.0 ns] clk=0 | reset_n=1 | cs=1 | we=0 | address=00001001 | write_data=00000000000000000000000000000001 | read_data=00000000000000000000000000000000
[166.0 ns] clk=1 | reset_n=1 | cs=1 | we=0 | address=00001001 | write_data=00000000000000000000000000000001 | read_data=00000000000000000000000000000000
[167.0 ns] clk=0 | reset_n=1 | cs=1 | we=0 | address=00001001 | write_data=00000000000000000000000000000001 | read_data=00000000000000000000000000000000
[168.0 ns] clk=1 | reset_n=1 | cs=1 | we=0 | address=00001001 | write_data=00000000000000000000000000000001 | read_data=00000000000000000000000000000000
[169.0 ns] clk=0 | reset_n=1 | cs=1 | we=0 | address=00001001 | write_data=00000000000000000000000000000001 | read_data=00000000000000000000000000000000
[170.0 ns] clk=1 | reset_n=1 | cs=1 | we=0 | address=00001001 | write_data=00000000000000000000000000000001 | read_data=00000000000000000000000000000000
[171.0 ns] clk=0 | reset_n=1 | cs=1 | we=0 | address=00001001 | write_data=00000000000000000000000000000001 | read_data=00000000000000000000000000000000
[172.0 ns] clk=1 | reset_n=1 | cs=1 | we=0 | address=00001001 | write_data=00000000000000000000000000000001 | read_data=00000000000000000000000000000000
[173.0 ns] clk=0 | reset_n=1 | cs=1 | we=0 | address=00001001 | write_data=00000000000000000000000000000001 | read_data=00000000000000000000000000000000
[174.0 ns] clk=1 | reset_n=1 | cs=1 | we=0 | address=00001001 | write_data=00000000000000000000000000000001 | read_data=00000000000000000000000000000000
[175.0 ns] clk=0 | reset_n=1 | cs=1 | we=0 | address=00001001 | write_data=00000000000000000000000000000001 | read_data=00000000000000000000000000000000
